sex,age_cat,race,priors_count,c_charge_degree,two_year_recid,length_of_stay
Male,25 - 45,African-American,-0.7336074554543861,F,1,-0.16777306788747529
Male,< 25,African-American,0.0559282248608784,F,1,-0.34065447528536436
Male,25 - 45,Caucasian,2.0297674256490397,F,1,-0.24460924895320377
Female,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.3214454300189323
Male,< 25,Caucasian,-0.53622353537557,F,1,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.34065447528536436
Male,< 25,African-American,-0.14145569521793772,M,1,-0.283027339486068
Female,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,25 - 45,African-American,-0.7336074554543861,F,0,-0.3598635205517965
Female,> 45,Caucasian,-0.53622353537557,F,1,-0.0909368868217468
Male,25 - 45,African-American,0.6480799850973268,F,1,-0.30223638475250014
Male,25 - 45,African-American,-0.14145569521793772,F,0,-0.34065447528536436
Male,25 - 45,Caucasian,0.45069606501851067,F,1,-0.34065447528536436
Male,25 - 45,Caucasian,0.2533121449396945,F,1,-0.34065447528536436
Male,> 45,African-American,1.8323835055702236,F,1,-0.34065447528536436
Male,< 25,African-American,-0.53622353537557,F,1,-0.30223638475250014
Male,25 - 45,Caucasian,-0.7336074554543861,M,1,-0.3598635205517965
Female,< 25,Caucasian,-0.7336074554543861,F,0,-0.34065447528536436
Male,25 - 45,Caucasian,-0.53622353537557,M,0,-0.34065447528536436
Male,25 - 45,African-American,0.8454639051761429,F,1,-0.03330975102245044
Female,25 - 45,Caucasian,-0.14145569521793772,F,0,-0.3598635205517965
Male,25 - 45,African-American,0.2533121449396945,F,1,-0.3598635205517965
Male,25 - 45,African-American,-0.7336074554543861,F,1,0.350871154306192
Male,25 - 45,Caucasian,1.0428478252549591,F,1,0.4853344711712168
Male,25 - 45,African-American,0.0559282248608784,F,1,-0.34065447528536436
Male,> 45,Caucasian,-0.7336074554543861,F,0,-0.3214454300189323
Male,25 - 45,Caucasian,0.45069606501851067,M,0,-0.12935497735461104
Female,25 - 45,Caucasian,0.0559282248608784,M,1,-0.14856402262104318
Male,< 25,Caucasian,-0.53622353537557,M,1,-0.34065447528536436
Male,25 - 45,African-American,3.411454866200753,F,1,0.2740349732404635
Male,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.3790725658182286
Female,< 25,African-American,-0.3388396152967538,F,0,1.157651055496341
Male,> 45,African-American,-0.3388396152967538,M,0,-0.34065447528536436
Male,25 - 45,Caucasian,-0.3388396152967538,M,1,-0.3598635205517965
Female,> 45,African-American,0.6480799850973268,F,0,-0.34065447528536436
Male,25 - 45,African-American,-0.7336074554543861,F,1,-0.3598635205517965
Male,25 - 45,Caucasian,1.0428478252549591,M,1,-0.24460924895320377
Male,25 - 45,African-American,1.8323835055702236,F,1,-0.3598635205517965
Male,> 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,25 - 45,African-American,0.0559282248608784,M,1,0.6197977880362416
Male,25 - 45,African-American,-0.7336074554543861,F,0,-0.3598635205517965
Male,25 - 45,Caucasian,-0.53622353537557,F,1,-0.3598635205517965
Male,> 45,Caucasian,3.214070946121937,F,1,-0.16777306788747529
Male,25 - 45,African-American,2.227151345727856,F,0,2.23335759041654
Male,< 25,African-American,-0.3388396152967538,F,1,-0.34065447528536436
Male,> 45,African-American,0.0559282248608784,M,0,-0.3598635205517965
Male,> 45,Caucasian,0.8454639051761429,F,0,-0.11014593208817892
Male,25 - 45,African-American,0.2533121449396945,F,0,-0.3598635205517965
Male,> 45,African-American,1.2402317453337752,M,1,0.3124530637733277
Male,25 - 45,African-American,2.227151345727856,F,1,-0.34065447528536436
Male,25 - 45,Caucasian,0.0559282248608784,M,1,-0.34065447528536436
Male,< 25,African-American,-0.53622353537557,F,1,-0.34065447528536436
Male,< 25,African-American,-0.3388396152967538,F,1,2.0220580924857865
Male,25 - 45,African-American,0.0559282248608784,F,1,-0.014100705756018322
Male,25 - 45,African-American,0.45069606501851067,F,1,0.21640783744116712
Female,> 45,African-American,-0.7336074554543861,M,0,-0.30223638475250014
Male,25 - 45,African-American,-0.53622353537557,M,0,-0.283027339486068
Male,25 - 45,African-American,0.2533121449396945,F,1,-0.34065447528536436
Male,25 - 45,Caucasian,-0.53622353537557,F,1,-0.0909368868217468
Male,25 - 45,African-American,-0.3388396152967538,F,0,-0.30223638475250014
Male,< 25,African-American,-0.53622353537557,M,1,-0.05251879628888256
Male,< 25,Caucasian,-0.7336074554543861,F,0,0.7350520596348343
Female,25 - 45,African-American,-0.53622353537557,F,1,-0.3214454300189323
Male,25 - 45,Caucasian,-0.53622353537557,F,1,0.005108339510413799
Male,25 - 45,African-American,-0.7336074554543861,F,0,-0.34065447528536436
Male,25 - 45,African-American,-0.53622353537557,M,0,-0.34065447528536436
Male,25 - 45,African-American,0.8454639051761429,M,1,-0.34065447528536436
Male,25 - 45,African-American,2.0297674256490397,F,1,-0.22540020368677166
Male,< 25,African-American,-0.3388396152967538,F,1,0.21640783744116712
Male,< 25,African-American,-0.3388396152967538,M,1,-0.3598635205517965
Female,25 - 45,African-American,-0.53622353537557,M,0,-0.3598635205517965
Male,25 - 45,African-American,1.0428478252549591,F,1,-0.30223638475250014
Male,25 - 45,Caucasian,0.6480799850973268,F,1,-0.3598635205517965
Male,25 - 45,Caucasian,1.0428478252549591,F,1,-0.3598635205517965
Female,< 25,Caucasian,-0.7336074554543861,F,0,-0.3598635205517965
Male,25 - 45,Caucasian,-0.3388396152967538,F,1,-0.3790725658182286
Male,> 45,Caucasian,-0.14145569521793772,F,0,0.21640783744116712
Female,> 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,< 25,African-American,-0.53622353537557,M,1,-0.18698211315390742
Male,< 25,African-American,-0.53622353537557,F,0,2.271775680949404
Male,25 - 45,African-American,-0.53622353537557,F,0,-0.3598635205517965
Female,25 - 45,Caucasian,-0.7336074554543861,F,1,-0.34065447528536436
Male,< 25,Caucasian,0.8454639051761429,F,1,-0.12935497735461104
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.2638182942196359
Male,25 - 45,Caucasian,-0.7336074554543861,M,0,0.3700801995726241
Female,25 - 45,Caucasian,-0.53622353537557,F,0,1.6762952776900082
Male,> 45,African-American,2.0297674256490397,F,1,1.7339224134893045
Male,25 - 45,Caucasian,-0.53622353537557,F,0,-0.34065447528536436
Male,< 25,African-American,-0.14145569521793772,F,1,-0.24460924895320377
Male,25 - 45,Caucasian,0.2533121449396945,M,1,-0.3214454300189323
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.0909368868217468
Male,25 - 45,African-American,0.2533121449396945,F,1,-0.3598635205517965
Male,25 - 45,African-American,-0.14145569521793772,F,0,-0.34065447528536436
Male,25 - 45,Caucasian,-0.53622353537557,F,1,-0.3598635205517965
Male,25 - 45,African-American,1.2402317453337752,F,1,3.020928446340257
Male,< 25,African-American,-0.7336074554543861,F,1,-0.3598635205517965
Male,25 - 45,African-American,4.793142306752466,F,1,-0.34065447528536436
Male,25 - 45,African-American,-0.53622353537557,M,0,-0.34065447528536436
Male,25 - 45,Caucasian,1.8323835055702236,F,1,8.687596799937733
Male,25 - 45,African-American,-0.14145569521793772,F,1,-0.3598635205517965
Male,> 45,African-American,0.8454639051761429,F,0,1.157651055496341
Male,> 45,Caucasian,-0.14145569521793772,M,0,-0.3598635205517965
Male,25 - 45,African-American,3.0166870260431202,F,1,-0.3598635205517965
Female,> 45,Caucasian,-0.3388396152967538,M,0,-0.3790725658182286
Male,< 25,Caucasian,0.0559282248608784,F,1,-0.0909368868217468
Male,25 - 45,Caucasian,0.45069606501851067,F,0,-0.3790725658182286
Female,25 - 45,Caucasian,-0.3388396152967538,F,0,-0.30223638475250014
Male,25 - 45,Caucasian,-0.53622353537557,M,0,-0.30223638475250014
Male,25 - 45,Caucasian,-0.7336074554543861,M,1,-0.3598635205517965
Female,< 25,African-American,-0.7336074554543861,M,0,-0.3214454300189323
Female,25 - 45,Caucasian,1.2402317453337752,F,1,-0.22540020368677166
Male,25 - 45,Caucasian,-0.3388396152967538,M,1,-0.3790725658182286
Male,25 - 45,African-American,-0.14145569521793772,F,1,-0.20619115842033953
Male,25 - 45,Caucasian,-0.3388396152967538,M,1,-0.07172784155531468
Male,25 - 45,African-American,-0.53622353537557,M,0,-0.34065447528536436
Male,> 45,Caucasian,-0.53622353537557,F,1,-0.3598635205517965
Female,< 25,African-American,-0.53622353537557,F,0,-0.3214454300189323
Female,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,25 - 45,African-American,1.0428478252549591,F,1,-0.11014593208817892
Male,25 - 45,African-American,1.4376156654125913,F,1,-0.34065447528536436
Male,25 - 45,African-American,0.8454639051761429,M,1,-0.3598635205517965
Female,25 - 45,African-American,-0.7336074554543861,F,1,-0.34065447528536436
Female,25 - 45,African-American,0.6480799850973268,F,1,0.13957165637543864
Male,25 - 45,African-American,-0.3388396152967538,F,1,-0.34065447528536436
Female,< 25,African-American,-0.7336074554543861,F,0,-0.3598635205517965
Female,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Female,> 45,African-American,-0.53622353537557,F,1,-0.3598635205517965
Female,25 - 45,African-American,0.0559282248608784,F,1,-0.24460924895320377
Female,25 - 45,African-American,-0.3388396152967538,M,1,-0.3598635205517965
Male,> 45,African-American,-0.14145569521793772,M,0,-0.34065447528536436
Male,25 - 45,Caucasian,-0.53622353537557,M,0,-0.30223638475250014
Female,25 - 45,Caucasian,-0.14145569521793772,F,1,9.820930470657228
Male,25 - 45,African-American,-0.53622353537557,F,0,0.9847696480984519
Male,> 45,Caucasian,-0.3388396152967538,M,0,-0.3598635205517965
Male,< 25,African-American,-0.53622353537557,F,0,-0.3598635205517965
Male,> 45,Caucasian,0.45069606501851067,F,1,0.06273547530971016
Female,> 45,Caucasian,0.45069606501851067,F,0,-0.2638182942196359
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.3214454300189323
Male,25 - 45,African-American,-0.53622353537557,M,1,-0.34065447528536436
Female,25 - 45,African-American,0.2533121449396945,F,0,-0.34065447528536436
Male,> 45,African-American,0.8454639051761429,F,0,-0.07172784155531468
Female,25 - 45,Caucasian,0.45069606501851067,F,0,1.657086232423576
Male,> 45,Caucasian,-0.53622353537557,F,0,-0.014100705756018322
Male,25 - 45,African-American,0.45069606501851067,M,1,-0.3598635205517965
Male,> 45,Caucasian,-0.53622353537557,M,1,-0.3598635205517965
